images\split\0041.jpg,12535.00,54.50,230.50,0.00,0.00,0.00,132.00
images\split\0042.jpg,12876.00,55.50,230.00,7857.00,57.50,40.50,151.00
images\split\0043.jpg,13456.00,70.00,230.00,8556.00,69.00,46.50,217.00
images\split\0044.jpg,4466.00,80.00,214.50,7656.00,65.50,44.00,265.00
images\split\0045.jpg,12760.00,55.00,230.00,8526.00,49.00,43.50,151.00
images\split\0046.jpg,14012.00,62.00,231.50,7440.00,61.50,40.00,153.00
images\split\0047.jpg,12317.00,54.50,231.50,8352.00,61.00,43.50,154.00
images\split\0048.jpg,3055.00,32.50,255.50,7790.00,47.50,41.00,151.00
images\split\0049.jpg,13110.00,57.50,231.00,7520.00,59.00,40.00,254.00
images\split\0050.jpg,12426.00,54.50,231.00,8526.00,60.00,43.50,154.00
images\split\0051.jpg,7800.00,37.50,228.00,10710.00,51.00,52.50,152.00
images\split\0052.jpg,0.00,0.00,0.00,0.00,0.00,0.00,288.00
images\split\0053.jpg,0.00,0.00,0.00,9009.00,59.50,45.50,229.00
images\split\0054.jpg,6375.00,74.50,217.50,7820.00,46.00,42.50,154.00
images\split\0055.jpg,13653.00,61.50,232.50,7812.00,57.50,42.00,138.00
images\split\0056.jpg,12426.00,54.50,231.00,7575.00,58.50,37.50,152.00
images\split\0057.jpg,13110.00,57.50,231.00,7708.00,47.00,41.00,151.00
images\split\0058.jpg,14848.00,64.00,230.00,9506.00,61.50,49.00,109.00
images\split\0059.jpg,12426.00,54.50,231.00,7524.00,59.50,38.00,151.00
images\split\0060.jpg,11286.00,65.50,231.00,4774.00,67.50,51.00,130.00
images\split\0061.jpg,14012.00,66.00,231.50,7990.00,71.00,42.50,154.00
images\split\0062.jpg,7326.00,76.00,232.50,7917.00,63.50,43.50,135.00
images\split\0063.jpg,13110.00,57.50,231.00,7920.00,49.50,40.00,153.00
images\split\0064.jpg,14336.00,64.00,232.00,8075.00,63.50,42.50,156.00
images\split\0065.jpg,15478.00,54.50,217.00,7896.00,62.00,42.00,288.00
images\split\0066.jpg,10767.00,48.50,232.50,9408.00,48.00,49.00,154.00
images\split\0067.jpg,14364.00,63.00,231.00,0.00,0.00,0.00,133.00
images\split\0068.jpg,10848.00,49.00,231.50,7326.00,59.50,37.00,151.00
images\split\0069.jpg,0.00,0.00,0.00,8460.00,45.00,47.00,150.00
images\split\0070.jpg,14022.00,61.50,231.00,8400.00,52.50,40.00,152.00
images\split\0071.jpg,11187.00,59.50,231.50,8720.00,54.50,40.00,255.00
images\split\0072.jpg,10057.00,70.50,231.50,8910.00,45.00,49.50,217.00
images\split\0073.jpg,3132.00,110.00,239.50,0.00,0.00,0.00,288.00
images\split\0074.jpg,0.00,0.00,0.00,8670.00,58.00,42.50,264.00
images\split\0075.jpg,0.00,0.00,0.00,8075.00,59.50,42.50,249.00
images\split\0076.jpg,0.00,0.00,0.00,7790.00,70.50,41.00,155.00
images\split\0077.jpg,9408.00,67.00,232.00,6290.00,66.50,37.00,155.00
images\split\0078.jpg,11628.00,51.00,231.00,7954.00,41.00,48.50,265.00
images\split\0079.jpg,13108.00,58.00,231.50,8415.00,49.50,42.50,154.00
images\split\0080.jpg,10602.00,46.50,231.00,7524.00,49.50,38.00,154.00
images\split\0081.jpg,0.00,0.00,0.00,9373.00,63.50,45.50,149.00
images\split\0082.jpg,15104.00,64.00,229.00,10028.00,73.50,46.00,154.00
images\split\0083.jpg,0.00,0.00,0.00,7140.00,67.00,42.50,153.00
